Using specified device: cuda:0
[AGCRN] 参数量: 38,199

>>> Run 1/3  [AGCRN]  开始训练...
| epoch  42 | 145.0s | loss 0.0887 | mae 0.0859 | rmse 0.5300 | da 0.5013 | tda 0.4984 | ic 0.0084 | icir 0.1588
| epoch  43 | 144.0s | loss 0.0885 | mae 0.0828 | rmse 0.5225 | da 0.5027 | tda 0.5008 | ic 0.0096 | icir 0.2174
| epoch  44 | 143.5s | loss 0.0883 | mae 0.0863 | rmse 0.5338 | da 0.5042 | tda 0.5044 | ic 0.0015 | icir 0.0254
| epoch  45 | 145.4s | loss 0.0882 | mae 0.0834 | rmse 0.5201 | da 0.5041 | tda 0.5033 | ic 0.0030 | icir 0.0548
| epoch  46 | 144.4s | loss 0.0884 | mae 0.0847 | rmse 0.5297 | da 0.5020 | tda 0.4994 | ic 0.0012 | icir 0.0225
| epoch  47 | 143.3s | loss 0.0880 | mae 0.0865 | rmse 0.5406 | da 0.5015 | tda 0.5008 | ic -0.0020 | icir -0.0388
| epoch  48 | 145.3s | loss 0.0879 | mae 0.0853 | rmse 0.5278 | da 0.5028 | tda 0.4988 | ic 0.0040 | icir 0.0691
| epoch  49 | 144.5s | loss 0.0875 | mae 0.0855 | rmse 0.5318 | da 0.5021 | tda 0.4982 | ic 0.0022 | icir 0.0416
| epoch  50 | 142.3s | loss 0.0872 | mae 0.0826 | rmse 0.5246 | da 0.5018 | tda 0.5009 | ic 0.0021 | icir 0.0380
Run 3 Final Test [AGCRN]: MAE 0.1012 | RMSE 0.6968 | DA 0.5002 | tDA 0.4985 | IC 0.0073 | ICIR 0.1201

=======================================================
[AGCRN]  Summary over 3 runs
=======================================================
Metric     | Mean       | Std       
--------------------------------------
MAE        | 0.0983     | 0.0028    
RMSE       | 0.6824     | 0.0107    
DA         | 0.5033     | 0.0024    
TDA        | 0.5063     | 0.0056    
IC         | 0.0131     | 0.0041    
ICIR       | 0.2022     | 0.0651    
=======================================================

[导出] 核心指标已写入 output/latest_metrics_agcrn.json

