Using specified device: cuda:0
[LSTM] 参数量: 218,527

>>> Run 1/3  [LSTM]  开始训练...
| epoch   8 |  18.9s | loss 0.1600 | mae 0.1640 | rmse 0.7777 | da 0.5070 | tda 0.5057 | ic 0.0179 | icir 0.3386
| epoch   9 |  19.0s | loss 0.1533 | mae 0.1567 | rmse 0.7467 | da 0.5063 | tda 0.5063 | ic 0.0188 | icir 0.3879
| epoch  10 |  18.9s | loss 0.1472 | mae 0.1506 | rmse 0.7198 | da 0.5063 | tda 0.5055 | ic 0.0175 | icir 0.3485
| epoch  11 |  19.0s | loss 0.1424 | mae 0.1448 | rmse 0.6998 | da 0.5057 | tda 0.5045 | ic 0.0163 | icir 0.3180
| epoch  12 |  19.1s | loss 0.1385 | mae 0.1413 | rmse 0.6834 | da 0.5060 | tda 0.5049 | ic 0.0186 | icir 0.3938
| epoch  13 |  18.8s | loss 0.1346 | mae 0.1371 | rmse 0.6749 | da 0.5065 | tda 0.5052 | ic 0.0146 | icir 0.2898
| epoch  14 |  18.9s | loss 0.1313 | mae 0.1317 | rmse 0.6545 | da 0.5070 | tda 0.5044 | ic 0.0202 | icir 0.4019
| epoch  15 |  19.0s | loss 0.1280 | mae 0.1298 | rmse 0.6439 | da 0.5070 | tda 0.5060 | ic 0.0207 | icir 0.4147
| epoch  16 |  18.8s | loss 0.1252 | mae 0.1279 | rmse 0.6318 | da 0.5070 | tda 0.5038 | ic 0.0177 | icir 0.3337
| epoch  17 |  17.5s | loss 0.1224 | mae 0.1227 | rmse 0.6183 | da 0.5068 | tda 0.5058 | ic 0.0155 | icir 0.3086
| epoch  18 |  18.1s | loss 0.1205 | mae 0.1198 | rmse 0.6123 | da 0.5066 | tda 0.5054 | ic 0.0211 | icir 0.4147
| epoch  19 |  18.9s | loss 0.1185 | mae 0.1192 | rmse 0.6116 | da 0.5065 | tda 0.5058 | ic 0.0124 | icir 0.2242
| epoch  20 |  18.7s | loss 0.1165 | mae 0.1154 | rmse 0.5938 | da 0.5065 | tda 0.5055 | ic 0.0173 | icir 0.3209
| epoch  21 |  19.1s | loss 0.1145 | mae 0.1137 | rmse 0.5916 | da 0.5062 | tda 0.5053 | ic 0.0118 | icir 0.2069
